Row Labels,Genotype,Range,Row,Rep,Commercial,Average of RM,,,,,BL_DATE,Planting_DATE,Pollen_Date,Silking_Date,Days_Planting_to_BL,Days_Planting_to_Pollen,Days_Pollen_BL,_8_10_23,8_16_23,8_23_23,8_30_23,9_5_23,9_13_23,9_20_23,9_29_23,Weight (lb),Moisture (%),Test Weight (lb/bu),Harvest Sequence,Yield,Moisture_8_22_23,Moisture_8_29_23,Moisture_9_5_23,Moisture_9_12_23,Moisture_9_18_23,Moisture_9_25_23,Moisture_10_2_23,Moisture_10_10_23
621036,W10004_0444 X W10005_0331,7,43,1,NO,95.1,95.1,0,0.051002168,9_20_23,9/20/23,5/11/23,7/23/23,7/24/23,132,73,59,0.113943636,0.116296924,0.434580929,0.092825661,0.094558074,0.062052636,0.051002168,0.032847924,23.41,18.9,56.8,14,155.4,61.35458167,51.6,43.25396825,37.25099602,32.47011952,30.07968127,25.94810379,22.4
621037,01DIB2 X PH24E,8,43,1,NO,100.105,100.105,0,0.04367506,9_29_23,9/29/23,5/11/23,7/23/23,7/23/23,141,73,68,0.11684331,0.112195822,0.482011128,0.099572306,0.095862475,0.069719656,0.063847188,0.04367506,25.08,19,56.1,16,166.2,58.2,49.8,42.91417166,40.15904573,38.2,33.6,35.64356436,26.2
621038,DKC48-95RIB,8,45,1,YES,98,98,0,,10_8_23,10/8/23,5/11/23,7/25/23,7/24/23,150,75,75,0.151127203,0.151357518,0.619166535,0.131576415,0.124947919,0.083860286,0.060180542,0.038750565,28.13,17,58,60,191,57.68463074,49.60159363,50.19920319,41.71656687,38.44621514,33.13373253,32.53493014,21.47117296
621039,LH228 X PH24E,8,47,1,NO,100.105,100.105,0,,10_17_23,10/17/23,5/11/23,7/24/23,7/26/23,159,74,85,0.13061057,0.12893506,0.530482782,0.111524787,0.10918144,0.068808628,0.056641562,0.045491586,21.21,17.9,55.2,104,142.5,67.79324056,54.29141717,45.6,43.71257485,41.6,33.33333333,34.53093812,30.73852295
621040,PHB47 X PH24E,8,49,1,NO,100.105,100.105,0,,10_8_23,10/8/23,5/11/23,7/24/23,7/26/23,150,74,76,0.121033129,0.103517313,0.478266828,0.10877545,0.110159486,0.077805853,0.066979725,0.048002985,28.44,20.1,54.4,148,185.9,66.99801193,51.6,42.4,42.54473161,39.76143141,35.45816733,35.32934132,32.00795229
621041,4676A X PH24E,8,51,1,NO,100.105,100.105,0,0.057513128,9_29_23,9/29/23,5/11/23,7/22/23,7/23/23,141,72,69,0.114686004,0.101300066,0.38676314,0.105471628,0.099988239,0.072567695,0.061833821,0.057513128,29.49,19.5,56.2,192,194.3,62.2,48.4,46.21513944,39.4,35.45816733,33.06772908,30.67729084,26.29482072
621042,PHN66 X PH24E,8,53,1,NO,95.1,95.1,0,0.051712858,9_29_23,9/29/23,5/11/23,7/23/23,7/26/23,141,73,68,0.122624922,0.11947645,0.47663947,0.113586841,0.104352037,0.080483896,0.070617146,0.051712858,27.54,18.2,56.5,236,184.3,63.87225549,50.2,42.2,41.43426295,37.57455268,33.86454183,31.2,20.2
621043,W10004_0444 X LH82_PHP02_0170,9,53,1,NO,95.1,95.1,0,0.060720281,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.131273158,0.123135961,0.478635219,0.117971962,0.109291511,0.089224885,0.076690991,0.060720281,20.59,17.9,55.7,238,138.3,64.47105788,49.6,52.2,38.56858847,33.60488798,31.47410359,28.8,23.55289421
621044,DKC60-87RIB,9,51,1,YES,110,110,0,,10_17_23,10/17/23,5/11/23,7/28/23,7/28/23,159,78,81,0.145683891,0.140765177,0.574897141,0.129913922,0.142154702,0.114038353,0.110788939,0.102221389,35.98,20.2,55.7,194,234.9,66.73306773,58.56573705,44.71057884,45.50898204,42.97029703,43,37.8968254,33.66533865
621045,LH143 (Maintainer) X PHP02,9,49,1,NO,95.1,95.1,0,0.044325605,9_29_23,9/29/23,5/11/23,7/23/23,7/25/23,141,73,68,0.095740087,0.094857905,0.419665924,0.095091236,0.084815997,0.064586343,0.057619664,0.044325605,27.41,19.3,55.9,150,181,63.54581673,51.6,40.07936508,40.83665339,37.82178218,34.26294821,27.49003984,27.34530938
621046,DKC35-88RIB,9,47,1,YES,85,85,0,0.049948198,9_20_23,9/20/23,5/11/23,7/19/23,7/20/23,132,69,63,0.117657879,0.122074968,0.48473805,0.112588814,0.100184786,0.067213614,0.049948198,0.040727729,22.21,16.3,56.5,106,152.1,54.98007968,46.12326044,45.41832669,37.1257485,32.66932271,29.4,23.65805169,18.7250996
621047,LH149 X PHP02,9,45,1,NO,100.105,100.105,0,0.021934855,9_29_23,9/29/23,5/11/23,7/19/23,7/21/23,141,69,72,0.100804183,0.117142555,0.434708617,0.101251742,0.084229185,0.057816408,0.04335089,0.021934855,23.6,17.9,56.2,62,158.5,61.55378486,51.88866799,45,41.35188867,40.19607843,38.44621514,31.41153082,29.14171657
621048,LH220Ht X PH24E,9,43,1,NO,100.105,100.105,0,0.04334102,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.104800425,0.10594053,0.440804995,0.09083178,0.096311885,0.071033386,0.065138764,0.04334102,25.52,17.6,55.9,18,172.1,61.75298805,48.6,41.6,39.3638171,36.56126482,34.33133733,28.62823062,24.15169661
621049,PHT69 X PHP02,10,43,1,NO,95.1,95.1,0,0.035949644,9_29_23,9/29/23,5/11/23,7/20/23,7/22/23,141,70,71,0.099335202,0.108123887,0.411422202,0.090424987,0.078340295,0.056907812,0.048728091,0.035949644,26.79,19.5,57.7,20,176.5,57.08582834,48.4,41.35188867,36.70634921,37.3015873,30.67729084,29.96031746,21.8
621050,W10004_0444 X PHK76_LH82_0114,10,45,1,NO,95.1,95.1,0,0.045618597,9_29_23,9/29/23,5/11/23,7/24/23,7/25/23,141,74,67,0.128052516,0.141735559,0.541138842,0.107770909,0.109281915,0.081990378,0.06340046,0.045618597,23.12,19.6,57.3,64,152.1,63.4,52.19123506,45.2,39.08730159,38.14229249,31.33732535,29.48207171,26
621051,DKC43-75RIB,10,47,1,YES,93,93,0,,10_8_23,10/8/23,5/11/23,7/24/23,7/24/23,150,74,76,0.139562599,0.130314531,0.556797282,0.126042884,0.12752811,0.085678183,0.069856726,0.045333947,29.16,16,56.9,108,200.4,62.15139442,52.89421158,46.10778443,38.88888889,36,31.67330677,24.30278884,18.92430279
